_id,count
"Manila, Philippines",64
"Kuala Lumpur, Malaysia",41
"Jakarta, Indonesia",32
Brunei Darussalam,1
Singapore,246
"Bangkok, Thailand",70
Saigon Vietnam,2
"Phnom Penh, Cambodia",3
