_id,ratings.overall,offeringDetails[0].hotel_class,offeringDetails[0].name
65ac46997672c3f8efe578ea,5,5,The London NYC
65ac46997672c3f8efe57a7a,3,3,BEST WESTERN PLUS Hospitality House
65ac46997672c3f8efe57d4f,4,3,The Hampton Inn Times Square North
65ac469a7672c3f8efe58086,3,5,The Surrey
65ac469a7672c3f8efe586a2,4,4,Doubletree Guest Suites Times Square
65ac469a7672c3f8efe58a42,5,5,The London NYC
65ac469a7672c3f8efe58b12,2,4,Sanctuary Hotel New York
65ac469a7672c3f8efe59318,5,5,The London NYC
65ac469a7672c3f8efe593d0,3,4,Hilton Times Square
65ac469c7672c3f8efe5d4f0,5,5,The London NYC
65ac469c7672c3f8efe5db3e,5,4,Doubletree Guest Suites Times Square
65ac469c7672c3f8efe5dfc4,5,4,Doubletree Guest Suites Times Square
65ac469d7672c3f8efe5f20f,5,4,Doubletree Guest Suites Times Square
65ac469d7672c3f8efe5fddb,4,4,Casablanca Hotel Times Square
65ac469f7672c3f8efe6509a,5,3,Hilton Garden Inn New York West 35th
65ac46a77672c3f8efe77d87,5,4,The Bryant Park Hotel
65ac46a77672c3f8efe77fdf,4,5,Trump SoHo New York
65ac46a77672c3f8efe78153,5,,The French Quarters Guest Apartments
65ac46a77672c3f8efe78749,5,4,The Pearl Hotel
65ac46a87672c3f8efe78e11,5,4,Andaz Wall Street
65ac46a87672c3f8efe791b0,5,3.5,The Nolitan Hotel
65ac46a87672c3f8efe79471,5,3.5,The Nolitan Hotel
65ac46a87672c3f8efe794b8,4,3.5,The Nolitan Hotel
65ac46a87672c3f8efe79ad9,5,4,Andaz Wall Street
65ac46a87672c3f8efe7a990,5,4,Andaz Wall Street
65ac46a97672c3f8efe7b102,5,3.5,Distrikt Hotel
65ac46a97672c3f8efe7c544,5,5,Trump SoHo New York
65ac46a97672c3f8efe7c66e,5,3.5,Distrikt Hotel
65ac46aa7672c3f8efe7d5d6,5,3.5,Distrikt Hotel
65ac46ab7672c3f8efe7fd79,4,4,Library Hotel
65ac46ab7672c3f8efe7fe39,4,4,Library Hotel
65ac46b37672c3f8efe933cc,4,4,Library Hotel
65ac46b47672c3f8efe93bc1,5,4,Hotel Elysee
65ac46b47672c3f8efe94fb8,5,4,Library Hotel
65ac46b47672c3f8efe95212,5,,Chelsea Pines Inn
65ac46b57672c3f8efe95c68,4,4,Library Hotel
65ac46b57672c3f8efe977be,4,4,Library Hotel
65ac46b77672c3f8efe9b62c,5,4,Hotel Giraffe
