_id,ratings.overall,offeringDetails[0].hotel_class,offeringDetails[0].name
65ac46867672c3f8efe296f0,5,2.5,Hotel Azure
65ac46867672c3f8efe296fa,4,,Broadway Hotel and Hostel
65ac46867672c3f8efe29aaa,4,4,The Roosevelt Hotel
65ac46867672c3f8efe29f4a,4,3.5,Holiday Inn SoHo New York
65ac46867672c3f8efe2a013,5,3,Bedford Hotel
65ac46867672c3f8efe2a0ef,4,3.5,Courtyard by Marriott New York Manhattan / Upper East Side
65ac46867672c3f8efe2a27a,2,4,Park Central
65ac46867672c3f8efe2a400,3,3.5,Holiday Inn SoHo New York
65ac46867672c3f8efe2a587,2,4,Park Central
65ac46867672c3f8efe2a72e,4,3.5,The Manhattan at Times Square Hotel
65ac46867672c3f8efe2a750,4,4,Empire Hotel
65ac46867672c3f8efe2a9d5,4,4,Hudson New York
65ac46867672c3f8efe2aa97,3,3.5,Holiday Inn SoHo New York
65ac46867672c3f8efe2afa2,4,3,Bedford Hotel
65ac46867672c3f8efe2b078,3,4,Empire Hotel
65ac46867672c3f8efe2b6b0,3,4,Park Central
65ac46877672c3f8efe2b8e2,4,3.5,The Manhattan at Times Square Hotel
65ac46877672c3f8efe2c33e,4,2.5,Cosmopolitan Hotel - Tribeca
65ac46877672c3f8efe2c348,3,3.5,The Manhattan at Times Square Hotel
65ac46877672c3f8efe2c87a,5,4,Hudson New York
65ac46877672c3f8efe2cb22,4,3.5,The Manhattan at Times Square Hotel
65ac46877672c3f8efe2cc6b,2,4,The Time
65ac46877672c3f8efe2cd4c,4,3.5,Hotel Belleclaire
65ac46877672c3f8efe2ce94,3,3,Hotel Grand Union
65ac46877672c3f8efe2d653,5,4,Dylan Hotel
65ac46877672c3f8efe2d67a,1,4,Millennium Hotel Broadway
65ac46877672c3f8efe2d871,3,4,Hilton Manhattan East
65ac46877672c3f8efe2d8d3,4,4,Hilton Manhattan East
65ac46877672c3f8efe2db53,3,4,Millennium Hotel Broadway
65ac46877672c3f8efe2dba2,3,4,Millennium Hotel Broadway
65ac46877672c3f8efe2dbbd,5,4,Hilton Manhattan East
65ac46887672c3f8efe2e2c7,3,4,Hilton Manhattan East
65ac46887672c3f8efe2e717,4,4,Stay.
65ac46887672c3f8efe2e95f,4,4,Stay.
65ac46887672c3f8efe2ec5e,3,4,Millennium Hotel Broadway
65ac46887672c3f8efe2eca5,4,4,Stay.
